2022-06-29 00:00:01.417,-13317,792.17,32.10,71.34
2022-06-29 00:00:03.417,-13316,792.44,32.08,71.32
2022-06-29 00:00:05.432,-13315,792.36,32.08,71.33
2022-06-29 00:00:07.432,-13314,792.37,32.06,71.36
2022-06-29 00:00:09.432,-13313,792.99,32.08,71.32
2022-06-29 00:00:11.432,-13312,792.82,32.08,71.34
2022-06-29 00:00:13.448,-13311,792.80,32.08,71.32
2022-06-29 00:00:15.448,-13310,792.74,32.08,71.30
2022-06-29 00:00:17.448,-13309,792.92,32.08,71.29
2022-06-29 00:00:19.448,-13308,793.02,32.06,71.34
2022-06-29 00:00:21.448,-13307,792.81,32.09,71.34
2022-06-29 00:00:23.448,-13306,793.42,32.08,71.34
2022-06-29 00:00:25.464,-13305,793.49,32.09,71.30
2022-06-29 00:00:27.464,-13304,792.60,32.08,71.30
2022-06-29 00:00:29.464,-13303,792.44,32.08,71.30
2022-06-29 00:00:31.464,-13302,792.39,32.09,71.34
2022-06-29 00:00:33.464,-13301,792.31,32.08,71.30
2022-06-29 00:00:35.480,-13300,792.86,32.08,71.31
2022-06-29 00:00:37.480,-13299,793.19,32.09,71.34
2022-06-29 00:00:39.480,-13298,793.24,32.08,71.33
2022-06-29 00:00:41.480,-13297,793.25,32.08,71.32
2022-06-29 00:00:43.480,-13296,793.57,32.09,71.29
2022-06-29 00:00:45.480,-13295,792.93,32.06,71.31
2022-06-29 00:00:47.495,-13294,793.61,32.09,71.37
2022-06-29 00:00:49.495,-13293,793.92,32.09,71.33
2022-06-29 00:00:51.495,-13292,793.67,32.09,71.36
2022-06-29 00:00:53.495,-13291,793.55,32.09,71.30
2022-06-29 00:00:55.495,-13290,793.61,32.10,71.33
2022-06-29 00:00:57.511,-13289,794.24,32.09,71.36
2022-06-29 00:00:59.511,-13288,794.43,32.10,71.34
2022-06-29 00:01:01.511,-13287,794.45,32.08,71.33
2022-06-29 00:01:03.511,-13286,794.08,32.09,71.33
2022-06-29 00:01:05.511,-13285,794.28,32.10,71.37
2022-06-29 00:01:07.511,-13284,794.42,32.10,71.32
2022-06-29 00:01:09.527,-13283,794.33,32.09,71.34
2022-06-29 00:01:11.527,-13282,794.61,32.09,71.34
2022-06-29 00:01:13.527,-13281,794.77,32.10,71.32
2022-06-29 00:01:15.527,-13280,794.56,32.08,71.33
2022-06-29 00:01:17.527,-13279,794.73,32.08,71.34
2022-06-29 00:01:19.543,-13278,794.26,32.09,71.35
2022-06-29 00:01:21.543,-13277,794.74,32.09,71.30
2022-06-29 00:01:23.543,-13276,794.97,32.09,71.35
2022-06-29 00:01:25.543,-13275,794.60,32.08,71.32
2022-06-29 00:01:27.543,-13274,793.96,32.08,71.35
2022-06-29 00:01:29.543,-13273,793.61,32.08,71.32
2022-06-29 00:01:31.558,-13272,793.45,32.09,71.34
2022-06-29 00:01:33.558,-13271,793.21,32.08,71.32
2022-06-29 00:01:35.558,-13270,793.45,32.09,71.34
2022-06-29 00:01:37.558,-13269,793.05,32.08,71.30
2022-06-29 00:01:39.558,-13268,792.94,32.06,71.36
2022-06-29 00:01:41.574,-13267,793.02,32.10,71.31
2022-06-29 00:01:43.574,-13266,792.96,32.10,71.36
2022-06-29 00:01:45.574,-13265,792.99,32.09,71.33
2022-06-29 00:01:47.574,-13264,793.81,32.06,71.32
2022-06-29 00:01:49.590,-13263,793.68,32.08,71.34
2022-06-29 00:01:51.590,-13262,793.82,32.05,71.32
2022-06-29 00:01:53.590,-13261,794.05,32.06,71.33
2022-06-29 00:01:55.590,-13260,794.45,32.09,71.30
2022-06-29 00:01:57.590,-13259,794.95,32.06,71.32
2022-06-29 00:01:59.590,-13258,795.16,32.09,71.33
2022-06-29 00:02:01.605,-13257,795.31,32.09,71.35
2022-06-29 00:02:03.605,-13256,795.14,32.06,71.35
2022-06-29 00:02:05.606,-13255,795.10,32.08,71.34
2022-06-29 00:02:07.606,-13254,795.26,32.08,71.30
2022-06-29 00:02:09.606,-13253,794.77,32.08,71.31
2022-06-29 00:02:11.621,-13252,794.46,32.08,71.32
2022-06-29 00:02:13.621,-13251,794.63,32.08,71.32
